day,hour,gametime,zone,lon,lat,age,r,dist,action,playerId,gameId,year
14812,6.9621477127075195,417.72886666666665,,-1.1537468433380127,52.968462109565735,0,184175,7,"move","P521","GA507",NA
14812,6.962380886077881,417.74286666666666,,-1.1537736654281616,52.96840846538544,0,184170,6,"move","P521","GA507",NA
14812,6.962703227996826,417.7622166666667,,-1.1537951231002808,52.96835482120514,0,184165,6,"move","P521","GA507",NA
14812,6.96290397644043,417.7742333333333,,-1.1537951231002808,52.96829044818878,0,184159,7,"move","P521","GA507",NA
14812,6.9632110595703125,417.79265,,-1.1537790298461914,52.968220710754395,0,184152,7,"move","P521","GA507",NA
14812,6.9634575843811035,417.8074833333333,,-1.153762936592102,52.96814560890198,0,184144,8,"move","P521","GA507",NA
14812,6.963766098022461,417.82596666666666,,-1.1537307500839233,52.96805441379547,0,184134,10,"move","P521","GA507",NA
14812,6.964014530181885,417.84088333333335,,-1.1537039279937744,52.967968583106995,0,184124,9,"move","P521","GA507",NA
14812,6.964322090148926,417.85931666666664,,-1.153687834739685,52.96788275241852,0,184116,9,"move","P521","GA507",NA
14812,6.964570999145508,417.87426666666664,,-1.1536771059036255,52.96777009963989,0,184104,12,"move","P521","GA507",NA
14812,6.964839935302734,417.8903833333333,,-1.1536610126495361,52.96766817569733,0,184094,11,"move","P521","GA507",NA
14812,6.965125560760498,417.90751666666665,,-1.1536502838134766,52.96756088733673,0,184083,11,"move","P521","GA507",NA
14812,6.9654645919799805,417.92788333333334,,-1.1536341905593872,52.967458963394165,0,184072,11,"move","P521","GA507",NA
14812,6.965720176696777,417.9432166666667,,-1.1536180973052979,52.9673570394516,0,184061,11,"move","P521","GA507",NA
14812,6.965958118438721,417.9575,,-1.1536180973052979,52.96725511550903,0,184051,11,"move","P521","GA507",NA
14812,6.966326713562012,417.9796166666667,,-1.1536073684692383,52.96715319156647,0,184041,11,"move","P521","GA507",NA
14812,6.966599941253662,417.996,,-1.1536020040512085,52.96706199645996,0,184032,10,"move","P521","GA507",NA
14812,6.966827392578125,418.00963333333334,,-1.153591275215149,52.966970801353455,0,184023,10,"move","P521","GA507",NA
14812,6.96707010269165,418.0242,,-1.1535805463790894,52.96687424182892,0,184013,10,"move","P521","GA507",NA
14812,6.967395782470703,418.0437166666667,,-1.1535537242889404,52.96677231788635,0,184002,11,"move","P521","GA507",NA
14812,6.967626571655273,418.0576,,-1.153537631034851,52.966681122779846,0,183992,10,"move","P521","GA507",NA
14812,6.967904090881348,418.0742333333333,,-1.1535215377807617,52.96659529209137,0,183983,9,"move","P521","GA507",NA
14812,6.968218803405762,418.09313333333336,,-1.1535000801086426,52.96649873256683,0,183973,10,"move","P521","GA507",NA
14812,6.968459606170654,418.1075666666667,,-1.153489351272583,52.96641826629639,0,183965,8,"move","P521","GA507",NA
14812,6.96873664855957,418.1242,,-1.1534678936004639,52.96632707118988,0,183955,10,"move","P521","GA507",NA
14812,6.969013690948486,418.1408333333333,,-1.153441071510315,52.966235876083374,0,183945,10,"move","P521","GA507",NA
14812,6.969290733337402,418.15743333333336,,-1.153414249420166,52.96615540981293,0,183937,9,"move","P521","GA507",NA
14812,6.969607830047607,418.17646666666667,,-1.1533820629119873,52.96605885028839,0,183926,10,"move","P521","GA507",NA
14812,6.969847679138184,418.1908666666667,,-1.1533284187316895,52.965940833091736,0,183913,13,"move","P521","GA507",NA
14812,6.9701642990112305,418.20986666666664,,-1.1532694101333618,52.96581745147705,0,183899,14,"move","P521","GA507",NA
14812,6.970448970794678,418.22695,,-1.1532050371170044,52.965726256370544,0,183888,11,"move","P521","GA507",NA
14812,6.970712184906006,418.2427333333333,,-1.1531460285186768,52.96564042568207,0,183878,10,"move","P521","GA507",NA
14812,6.971010684967041,418.2606333333333,,-1.153092384338379,52.96554923057556,0,183867,10,"move","P521","GA507",NA
14812,6.971337795257568,418.28026666666665,,-1.1530441045761108,52.965474128723145,0,183858,8,"move","P521","GA507",NA
14812,6.971545219421387,418.2927,,-1.1530065536499023,52.9653936624527,0,183849,9,"move","P521","GA507",NA
14812,6.971919059753418,418.31515,,-1.1529582738876343,52.96531319618225,0,183839,9,"move","P521","GA507",NA
14812,6.972098350524902,418.3259,,-1.1529099941253662,52.965238094329834,0,183831,8,"move","P521","GA507",NA
14812,6.972377300262451,418.3426333333333,,-1.152867078781128,52.96517372131348,0,183823,7,"move","P521","GA507",NA
14812,6.972721576690674,418.3633,,-1.1528348922729492,52.96512544155121,0,183817,5,"move","P521","GA507",NA
14812,6.973276615142822,418.39658333333335,,-1.1527866125106812,52.96507716178894,0,183811,6,"move","P521","GA507",NA
